ID_Alumno,Promedio,Parcial,Asistencia,Horas_Estudio,Accesos_Moodle,Tareas_Entregadas,Participacion_Clase,Calificacion_Final,Resultado
A001,76.7,79.4,83.4,7.2,12,10,7,83.7,Aprueba
A002,60.5,71.8,80.8,10.7,22,10,6,68.9,Reprueba
A003,82.0,82.7,93.3,3.5,9,8,6,73.1,Aprueba
A004,84.3,89.4,84.4,8.2,17,9,8,90.2,Aprueba
A005,49.6,35.0,79.5,1.5,9,7,6,52.5,Reprueba
A006,57.4,57.0,76.0,2.6,6,6,7,54.4,Reprueba
A007,74.5,67.8,83.1,1.9,10,12,6,69.4,Reprueba
A008,69.2,59.5,88.9,3.1,10,10,8,66.4,Reprueba
A009,72.8,65.8,67.5,8.0,9,11,5,72.1,Aprueba
A010,62.8,60.1,69.6,3.6,16,7,10,63.3,Reprueba
A011,83.6,90.9,75.4,4.0,7,8,3,68.4,Reprueba
A012,82.3,71.7,68.1,6.3,4,7,8,66.8,Reprueba
A013,73.8,74.0,78.4,7.0,9,4,9,59.5,Reprueba
A014,86.5,82.7,94.3,4.1,5,7,6,73.0,Aprueba
A015,78.6,76.0,83.2,2.6,8,5,10,76.8,Aprueba
A016,62.7,70.7,81.5,12.5,20,6,9,66.9,Reprueba
A017,77.4,81.7,93.8,4.1,8,7,9,76.5,Aprueba
A018,61.5,72.2,90.1,4.4,13,12,7,69.4,Reprueba
A019,83.5,82.3,86.7,4.7,12,9,6,79.3,Aprueba
A020,72.4,66.8,94.2,7.5,16,12,7,77.9,Aprueba
A021,70.8,69.0,83.5,1.8,9,9,7,71.1,Aprueba
A022,64.8,66.8,74.0,15.2,28,12,10,90.0,Aprueba
A023,87.7,89.1,83.9,4.3,0,7,7,72.1,Aprueba
A024,71.1,62.5,71.1,7.6,13,10,5,74.7,Aprueba
A025,67.9,68.6,74.6,2.2,0,9,7,49.0,Reprueba
A026,68.8,70.6,79.2,5.9,12,8,8,78.3,Aprueba
A027,79.4,99.5,92.2,13.9,23,12,9,100.0,Aprueba
A028,77.4,92.4,98.9,12.8,27,12,10,100.0,Aprueba
A029,78.0,71.1,74.2,7.5,20,8,6,67.6,Reprueba
A030,78.2,75.9,88.5,3.0,9,7,5,65.1,Reprueba
A031,98.0,86.3,84.0,10.4,16,8,6,85.7,Aprueba
A032,68.1,63.4,85.6,1.5,9,9,3,62.3,Reprueba
A033,66.9,69.4,80.3,2.9,5,9,7,63.9,Reprueba
A034,63.2,72.9,65.5,5.1,11,6,5,68.3,Reprueba
A035,80.4,74.6,93.6,1.6,11,9,6,63.4,Reprueba
A036,86.5,81.3,83.5,3.8,7,10,1,72.8,Aprueba
A037,71.6,54.5,78.8,8.3,20,11,4,70.4,Aprueba
A038,62.9,61.6,71.5,3.3,12,11,8,65.8,Reprueba
A039,63.1,54.6,74.9,8.6,11,12,5,61.3,Reprueba
A040,80.8,76.6,89.7,16.0,31,10,9,93.5,Aprueba
A041,81.9,74.9,85.2,6.7,17,12,4,66.5,Reprueba
A042,79.5,78.8,88.5,8.5,16,9,10,85.0,Aprueba
A043,65.0,51.0,83.7,10.6,15,12,7,65.7,Reprueba
A044,75.8,64.0,95.1,4.0,5,10,8,67.9,Reprueba
A045,74.4,91.4,81.3,8.4,13,9,10,82.0,Aprueba
A046,75.6,65.3,72.7,4.0,12,4,9,63.6,Reprueba
A047,83.5,74.7,95.7,6.4,8,10,7,77.3,Aprueba
A048,75.7,90.4,81.8,9.1,19,7,6,76.0,Aprueba
A049,81.1,100.0,95.3,3.1,2,11,7,75.0,Aprueba
A050,73.8,64.4,86.9,0.8,4,11,7,69.7,Reprueba
A051,76.5,73.5,83.7,2.9,9,7,6,70.7,Aprueba
A052,80.6,83.3,89.0,9.9,30,11,7,85.0,Aprueba
A053,55.5,69.3,93.0,2.6,1,8,10,60.8,Reprueba
A054,69.2,61.3,98.8,9.5,25,10,8,75.7,Aprueba
A055,67.4,65.4,82.1,2.9,9,10,10,71.6,Aprueba
A056,65.3,71.6,82.1,4.6,13,9,7,61.5,Reprueba
A057,69.7,73.2,91.0,5.3,12,12,10,81.7,Aprueba
A058,90.9,87.9,83.1,2.6,10,8,7,77.4,Aprueba
A059,62.6,61.5,82.6,4.7,10,11,8,80.4,Aprueba
A060,84.6,73.6,87.4,1.7,14,9,5,66.3,Reprueba
A061,52.8,50.9,79.0,4.3,8,10,5,59.0,Reprueba
A062,69.0,66.9,75.5,5.0,17,8,7,77.3,Aprueba
A063,75.0,76.8,71.5,0.8,2,7,7,66.5,Reprueba
A064,80.0,75.6,69.4,2.9,8,7,6,64.1,Reprueba
A065,81.5,85.3,77.6,6.3,7,7,4,69.8,Reprueba
A066,82.5,90.6,83.2,2.4,10,10,4,75.3,Aprueba
A067,68.8,70.1,79.7,6.9,21,11,4,74.4,Aprueba
A068,67.5,70.3,97.1,7.3,14,12,5,72.6,Aprueba
A069,83.3,83.7,96.0,6.3,12,12,8,83.5,Aprueba
A070,70.7,70.7,75.0,8.3,10,12,9,69.3,Reprueba
A071,57.7,51.9,81.0,1.6,5,7,6,52.6,Reprueba
A072,59.4,61.9,75.5,9.3,9,10,3,68.6,Reprueba
A073,62.0,61.2,77.4,2.6,3,7,6,54.4,Reprueba
